"TF_family.x","cardinality_abs","n"
"AP2/ERF-AP2","1:1:1",46
"AP2/ERF-ERF","1:1:1",327
"B3","1:1:1",167
"B3-ARF","1:1:1",62
"bHLH","1:1:1",317
"bZIP","1:1:1",226
"C2C2-Dof","1:1:1",72
"C2C2-GATA","1:1:1",72
"C2H2","1:1:1",307
"C3H","1:1:1",128
"GARP-G2-like","1:1:1",136
"GRAS","1:1:1",135
"HB-BELL","1:1:1",33
"HB-HD-ZIP","1:1:1",93
"HB-WOX","1:1:1",39
"HSF","1:1:1",60
"LOB","1:1:1",69
"MADS-M-type","1:1:1",60
"MADS-MIKC","1:1:1",95
"MYB","1:1:1",337
"MYB-related","1:1:1",156
"NAC","1:1:1",233
"NF-YC","1:1:1",35
"OFP","1:1:1",87
"SBP","1:1:1",51
"TCP","1:1:1",55
"Tify","1:1:1",34
"Trihelix","1:1:1",74
"TUB","1:1:1",36
"WRKY","1:1:1",207
